description,problem
The leaves are turning yellow and the soil is very wet,overwatering
My plant looks weak and the soil stays wet for many days,overwatering
Leaves are falling and the soil is soggy,overwatering
I water my plant every day and now the leaves are yellow,overwatering
The plant is drooping even though I water it regularly,overwatering
The potting soil remains wet for a long time,overwatering
My plant looks unhealthy because I give it too much water,overwatering
The soil is always soggy,overwatering
Yellow leaves are falling from my plant,overwatering
I think I have watered my plant too much,overwatering
My plant is drooping but the soil is already wet,overwatering
The leaves are soft and yellow,overwatering
Water stays in the pot for too long,overwatering
I keep watering but the plant looks worse,overwatering
The soil never seems to dry,overwatering
My plant has yellow leaves and wet soil,overwatering
I may be watering the plant too frequently,overwatering
The plant looks weak and the soil is constantly moist,overwatering
Leaves are becoming yellow after frequent watering,overwatering
My plant is wilting even though the soil is wet,overwatering
The pot feels heavy because the soil is full of water,overwatering
I accidentally watered the plant several times this week,overwatering
The lower leaves are yellow and dropping,overwatering
My plant looks unhealthy after excessive watering,overwatering
The soil feels wet every time I check it,overwatering
Why are my leaves yellow when I water regularly,overwatering
Plant soil is soggy all the time,overwatering
I think the plant is getting too much water,overwatering
The leaves are drooping and the soil is soaking wet,overwatering
My plant has been sitting in wet soil for days,overwatering
I water the plant too often,overwatering
The soil has not dried since the last watering,overwatering
My plant looks limp even though it has plenty of water,overwatering
There is always moisture in the pot,overwatering
The plant became yellow after I increased watering,overwatering
The soil is very dry and the leaves are drooping,underwatering
My plant looks dry and weak,underwatering
The leaves are crispy and dry,underwatering
I forgot to water my plant for many days,underwatering
The soil is completely dry,underwatering
The plant is wilting because it has not received water,underwatering
The leaves are dry and falling off,underwatering
My plant looks thirsty,underwatering
The soil dries out very quickly,underwatering
The leaves are turning brown and crispy,underwatering
I have not watered my plant for a week,underwatering
My plant is drooping and the soil is dry,underwatering
The leaves feel dry and brittle,underwatering
The plant looks weak because I forgot to water it,underwatering
The soil has become extremely dry,underwatering
My plant is wilting from lack of water,underwatering
The leaves are curling and dry,underwatering
I think my plant needs more water,underwatering
The plant looks dehydrated,underwatering
The leaves are becoming dry at the edges,underwatering
The potting soil is dry all the way through,underwatering
I rarely water this plant,underwatering
The plant becomes droopy when I forget watering,underwatering
The leaves look shriveled and dry,underwatering
My plant has not been watered recently,underwatering
The soil is dusty and dry,underwatering
The leaves are hanging down because the plant is dry,underwatering
My plant looks better after I water it,underwatering
I forgot to water it for several days,underwatering
The plant is drying out,underwatering
Leaves are crispy because the soil is dry,underwatering
My plant is wilting and the pot is very dry,underwatering
The soil has no moisture,underwatering
I think the plant is not getting enough water,underwatering
The leaves are dry and the plant looks thirsty,underwatering
My plant is growing slowly in a dark room,low_light
The plant does not receive much sunlight,low_light
The leaves are becoming pale because the room is dark,low_light
My plant is not growing well indoors,low_light
The plant is kept far from the window,low_light
There is very little natural light in my room,low_light
The plant looks weak because it does not get enough light,low_light
My plant is stretching toward the window,low_light
The stems are becoming long and weak,low_light
The plant is growing slowly because the area is too dark,low_light
My room does not get much sunlight,low_light
The plant is kept in a shaded corner,low_light
The leaves look pale and the plant is growing slowly,low_light
My plant does not receive enough sunlight,low_light
The plant is leaning toward the light source,low_light
The stems are thin and stretched,low_light
The plant has become leggy indoors,low_light
Growth is very slow in this dark location,low_light
My plant is far away from any window,low_light
The leaves are losing their healthy color,low_light
The plant is not getting sufficient light,low_light
The room remains dark during most of the day,low_light
My plant is growing toward the window,low_light
The plant looks stretched because of low light,low_light
There is no direct or bright light where I keep it,low_light
The plant growth has slowed in a dark area,low_light
My plant is kept in a place with very little light,low_light
The leaves are pale and growth is weak,low_light
The plant is not receiving enough daylight,low_light
My indoor plant is struggling because the room is too dark,low_light
The stems are long because it is searching for light,low_light
The plant has weak growth in low light,low_light
My plant needs a brighter location,low_light
There is not enough sunlight in this room,low_light
The plant looks weak in the dark corner,low_light
The leaves are yellow even though I water properly,nutrient_deficiency
My plant is growing very slowly despite good care,nutrient_deficiency
The leaves look pale and weak,nutrient_deficiency
The plant may not be getting enough nutrients,nutrient_deficiency
Older leaves are turning yellow,nutrient_deficiency
New growth is small and weak,nutrient_deficiency
The leaves have yellow areas between the veins,nutrient_deficiency
My plant has poor growth despite proper watering,nutrient_deficiency
The soil may not have enough nutrients,nutrient_deficiency
The plant looks pale and unhealthy,nutrient_deficiency
The leaves are losing their green color,nutrient_deficiency
Growth has slowed even though light and water seem fine,nutrient_deficiency
