id,typeName,category,description,commonExamples,careTips,lightPreference,humidityPreference,temperaturePreference,springInterval,summerInterval,fallInterval,winterInterval,soilPhPreference,drainagePreference,plantToxicity,growthRate,origin
aglaonema,Aglaonema,Houseplants - Low Maintenance,"Also known as: Chinese evergreen. Low-light tolerant aroids with variegated foliage in shades of green, silver, pink, or red.","Aglaonema commutatum (Chinese evergreen), A. pictum, A. 'Silver Bay', A. 'Maria', A. 'Red Siam', A. 'Pink Star'",Water when top 1-2 inches of soil feels dry. Keep slightly more moist than other low-light plants but avoid soggy soil. Bright indirect light maintains variegation; low light is tolerated but may reduce color. Maintain 50-60% humidity. Fertilize monthly spring through fall with balanced liquid fertilizer (20-20-20) diluted to half strength. Wipe leaves monthly with damp cloth to remove dust and improve photosynthesis. Repot every 2-3 years in spring when roots fill container. Prune yellowing leaves at base. Watch for spider mites in dry conditions. Toxic to pets.,lowIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
aglaonema-pink-star,Aglaonema Pink Star,Houseplants - Low Maintenance,Aglaonema cultivar with pink-splashed variegation on green leaves; bright indirect light enhances color.,Aglaonema 'Pink Star',Water when top 1-2 inches of soil feels dry. Keep slightly more moist than other low-light plants but avoid soggy soil. Bright indirect light maintains pink variegation; low light reduces color intensity. Maintain 50-60% humidity. Fertilize monthly spring through fall with balanced liquid fertilizer diluted to half strength. Wipe leaves monthly with damp cloth to remove dust. Repot every 2-3 years in spring. Prune yellowing leaves at base. Watch for spider mites in dry conditions. Toxic to pets.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
aglaonema-red-valentine,Red Valentine Aglaonema,Houseplants - Low Maintenance,"Striking Aglaonema cultivar with deep pink or red variegation on dark green leaves, low-light tolerant like other Chinese evergreens.",Aglaonema 'Red Valentine',Water when top 1-2 inches of soil feels dry. Keep slightly more moist than succulents but avoid soggy soil. Low to bright indirect light maintains red coloration. Medium humidity (50-60%) preferred. Fertilize monthly spring through fall with balanced fertilizer at half strength. Wipe leaves monthly to remove dust. Toxic to pets. In spring pruning and Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
aglaonema-sparkling-sarah,Aglaonema Sparkling Sarah,Houseplants - Low Maintenance,"Colorful Aglaonema cultivar with striking pink, cream, and green variegation on compact foliage; one of the most colorful Chinese evergreen varieties.",Aglaonema 'Sparkling Sarah',Water when top 1-2 inches of soil feels dry. Keep slightly more moist than other low-light plants but avoid soggy soil. Bright indirect light maintains vibrant pink-cream variegation; low light is tolerated but reduces color. Maintain 50-60% humidity. Fertilize monthly spring through fall with balanced liquid fertilizer diluted to half strength. Wipe leaves monthly with damp cloth to remove dust. Repot every 2-3 years in spring. Compact growth habit makes it ideal for tabletops. Watch for spider mites in dry conditions. Toxic to pets. In spring pruning and Remove dead or damaged foliage promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,moderate,
aralia-ming,Ming Aralia,Houseplants - Low Maintenance,"Finely textured tropical shrub with lacy, compound leaves; can be pruned into tree form. Sensitive to drafts and dry air.","Polyscias fruticosa (Ming aralia, Parsley aralia)",Water when top 1-2 inches of soil is dry. Keep moderately moist but never soggy—prone to root rot. Bright indirect light preferred; tolerates light shade. Medium to high humidity (50-65%) helps prevent leaf drop. Avoid cold drafts and temps below 18°C. Fertilize monthly spring through fall. Mildly toxic to pets. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,brightIndirect,medium,"[18, 24]",7.0,7.0,10.0,14.0,neutral,wellDraining,mildlyToxic,moderate,
aspidistra-variegated,Variegated Cast Iron,Houseplants - Low Maintenance,Variegated form of the cast iron plant with cream or white stripes on narrow leaves; equally indestructible and low-light tolerant.,Aspidistra elatior 'Variegata' (Variegated cast iron plant),Water when top 1-2 inches of soil is dry. Extremely forgiving of neglect. Tolerates very low light; brighter indirect light maintains variegation. Low humidity is fine. Fertilize 2-3 times per year at quarter strength. Repot only when severely root-bound. Non-toxic to pets. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,lowIndirect,low,"[10, 24]",7.0,7.0,10.0,14.0,neutral,wellDraining,nonToxic,slow,
cast-iron-plant,Cast Iron Plant,Houseplants - Low Maintenance,"Also known as: Barroom plant. Extremely low-light tolerant foliage plant in the Asparagaceae family, named for its ability to survive neglect. Includes various cultivars like variegated and speckled varieties.","Aspidistra elatior (Cast iron plant, Barroom plant), A. elatior 'Variegata' (Variegated cast iron plant), A. elatior 'Milky Way' (speckled variety)",Water when top 1-2 inches of soil is dry. Extremely forgiving of inconsistent watering and low light conditions. Avoid overwatering which causes root rot. Tolerates very low light but grows faster in bright indirect light. Low humidity is fine. Fertilize 2-3 times per year during growing season with balanced fertilizer at quarter strength. Repot only when severely root-bound (every 5-7 years). Remove dead or yellowing leaves at base by cutting at soil level. Dust leaves occasionally. One of the most indestructible houseplants. Prune yellowing or damaged leaves at the base. Trim leggy growth to maintain shape.,lowIndirect,low,"[7, 27]",10.0,10.0,14.0,21.0,neutral,wellDraining,nonToxic,slow,
dracaena-fragrans,Dracaena Fragrans,Houseplants - Low Maintenance,"Also known as: Corn plant. Corn plant with broad, arching leaves, can grow quite tall. Includes the popular 'Janet Craig' (Deremensis Group) and 'Massangeana' cultivars.","Dracaena fragrans 'Massangeana' (Corn plant), D. fragrans 'Janet Craig' (Deremensis Group), D. fragrans 'Compacta' (dwarf form)","Water when top half of soil is dry. Use filtered, distilled, or rainwater to prevent brown leaf tips from fluoride and chlorine. Bright indirect to medium light preferred. Maintain 40-50% humidity. Fertilize monthly spring through fall with balanced fertilizer diluted to half strength. Wipe leaves monthly to remove dust. Repot every 2-3 years when roots fill container. Prune brown tips and remove yellowing lower leaves. Sensitive to drafts and temperature fluctuations. Toxic to pets.",lowIndirect,medium,"[18, 24]",10.0,10.0,14.0,21.0,neutral,wellDraining,toxic,slow,
dracaena-goldieana,Dracaena Goldieana,Houseplants - Low Maintenance,"Also known as: Zebra-striped dragon tree. Rare dracaena with striking horizontal zebra-like bands of dark and light green on broad, oval leaves. A trending collector plant.","Dracaena goldieana (Zebra-striped dragon tree, Queen of dracaenas)",Water when top 1-2 inches of soil are dry; more sensitive to overwatering than other dracaenas. Bright indirect light — more light than typical dracaenas to maintain bold banding. High humidity (60%+) preferred — this is the key to success; brown leaf edges indicate low humidity. Fertilize monthly spring through fall with balanced fertilizer at half strength. Grows slowly. More finicky than other dracaenas — treat more like a calathea in terms of humidity needs. Repot every 2-3 years. Toxic to pets. Remove yellowing or damaged leaves promptly.,brightIndirect,high,"[18, 27]",10.0,7.0,10.0,14.0,neutral,wellDraining,toxic,slow,
dracaena-limelight,Dracaena Limelight,Houseplants - Low Maintenance,Also known as: Limelight dracaena. Bright lime-green cultivar of Dracaena deremensis; adds vivid color to low-light spaces.,Dracaena deremensis 'Limelight' (Limelight dracaena),Water when top inch of soil is dry. Use filtered water to avoid brown tips. Medium to bright indirect light maintains lime color; low light may dull it. Medium humidity fine. Fertilize monthly spring through fall. Toxic to pets. Remove yellowing or damaged leaves promptly.,brightIndirect,medium,"[18, 27]",7.0,7.0,10.0,14.0,neutral,wellDraining,toxic,slow,
