description,problem,clean_description
The leaves are turning yellow and the soil is very wet,overwatering,the leaves are turning yellow and the soil is very wet
My plant looks weak and the soil stays wet for many days,overwatering,my plant looks weak and the soil stays wet for many days
Leaves are falling and the soil is soggy,overwatering,leaves are falling and the soil is soggy
I water my plant every day and now the leaves are yellow,overwatering,i water my plant every day and now the leaves are yellow
The plant is drooping even though I water it regularly,overwatering,the plant is drooping even though i water it regularly
The potting soil remains wet for a long time,overwatering,the potting soil remains wet for a long time
My plant looks unhealthy because I give it too much water,overwatering,my plant looks unhealthy because i give it too much water
The soil is always soggy,overwatering,the soil is always soggy
Yellow leaves are falling from my plant,overwatering,yellow leaves are falling from my plant
I think I have watered my plant too much,overwatering,i think i have watered my plant too much
My plant is drooping but the soil is already wet,overwatering,my plant is drooping but the soil is already wet
The leaves are soft and yellow,overwatering,the leaves are soft and yellow
Water stays in the pot for too long,overwatering,water stays in the pot for too long
I keep watering but the plant looks worse,overwatering,i keep watering but the plant looks worse
The soil never seems to dry,overwatering,the soil never seems to dry
My plant has yellow leaves and wet soil,overwatering,my plant has yellow leaves and wet soil
I may be watering the plant too frequently,overwatering,i may be watering the plant too frequently
The plant looks weak and the soil is constantly moist,overwatering,the plant looks weak and the soil is constantly moist
Leaves are becoming yellow after frequent watering,overwatering,leaves are becoming yellow after frequent watering
My plant is wilting even though the soil is wet,overwatering,my plant is wilting even though the soil is wet
The pot feels heavy because the soil is full of water,overwatering,the pot feels heavy because the soil is full of water
I accidentally watered the plant several times this week,overwatering,i accidentally watered the plant several times this week
The lower leaves are yellow and dropping,overwatering,the lower leaves are yellow and dropping
My plant looks unhealthy after excessive watering,overwatering,my plant looks unhealthy after excessive watering
The soil feels wet every time I check it,overwatering,the soil feels wet every time i check it
Why are my leaves yellow when I water regularly,overwatering,why are my leaves yellow when i water regularly
Plant soil is soggy all the time,overwatering,plant soil is soggy all the time
I think the plant is getting too much water,overwatering,i think the plant is getting too much water
The leaves are drooping and the soil is soaking wet,overwatering,the leaves are drooping and the soil is soaking wet
My plant has been sitting in wet soil for days,overwatering,my plant has been sitting in wet soil for days
I water the plant too often,overwatering,i water the plant too often
The soil has not dried since the last watering,overwatering,the soil has not dried since the last watering
My plant looks limp even though it has plenty of water,overwatering,my plant looks limp even though it has plenty of water
There is always moisture in the pot,overwatering,there is always moisture in the pot
The plant became yellow after I increased watering,overwatering,the plant became yellow after i increased watering
The soil is very dry and the leaves are drooping,underwatering,the soil is very dry and the leaves are drooping
My plant looks dry and weak,underwatering,my plant looks dry and weak
The leaves are crispy and dry,underwatering,the leaves are crispy and dry
I forgot to water my plant for many days,underwatering,i forgot to water my plant for many days
The soil is completely dry,underwatering,the soil is completely dry
